code	product_name_de	quantity	price	categories_tags	image	ingredients_text_de
	Bananen, Bio	200g	1.19	fruits	https://meine-vitaminheimat.de/wp-content/uploads/2021/04/BIO_Bananen_3.jpg	Angenehm süßlicher Geschmack und ein intensives Bananenaroma sorgen für himmlisches Essvergnügen. – Herkunft: Costa Rica
	Eier, Bio	10er Pack	4.9	eggs	https://meine-vitaminheimat.de/wp-content/uploads/2021/04/Eier_BIO_1.jpg	Unsere BIO-Eier stammen von glücklichen Hühnern aus unserem Nachbarort Vohburg. Hier werden sie mit viel Liebe von den Hühnern der Familie Rettermayer gelegt und kommen dann frisch zu uns in den Laden. Die Haltbarkeit ist im Regelfall mit drei Wochen angegeben. KOCHTIPP: Solltet Ihr mal nicht wissen, ob die Eier noch haltbar sind, einfach kurz vor Benutzung in ein Glas mit Wasser legen, geht das Ei unter ist es noch verwendbar. Sollte das Ei an der Oberfläche schwimmen, solltet ihr es vorsichtshalber entsorgen. – Herkunft: Deutschland
	Zitronen, unbehandelt		1.0	fruits	https://meine-vitaminheimat.de/wp-content/uploads/2021/04/Zitronen_10.jpg	Zitronen gehören zu den Rautengewächsen. Sie sind einer der Hauptlieferanten von Vitamin C. Mit ihr lassen sich Gerichte verfeinern, Säfte pressen, Salate abschmecken. KOCHTIPP: Zitrone vor dem Aufschneiden auf einem Schneidebrett drückend rollen. Das erhöht die Saftausbeute. – Herkunft: Italien
	Salatgurken		3.2	vegetables	https://meine-vitaminheimat.de/wp-content/uploads/2021/04/Salatgurken_3.jpg	Die Salatgurke gehört botanisch gesehen zu den Kürbisgewächsen. Sie macht sich bestens in Salaten, auf dem Brot oder auch in einer kalten Gurkensuppe. Gurken sollten aufgrund des hohen Wasseranteils auf Dauer nicht unter 10° Celsius gelagert werden. – Herkunft: Deutschland
	Orangen zum Entsaften	180g	1.06	fruits	https://meine-vitaminheimat.de/wp-content/uploads/2021/04/Saftorangen_1.jpg	Orangen sind Rautengewächse. Wir suchen unsere Orangen selbst am Großmarkt München aus. Dies erlaubt uns neben der optischen Qualität vor allem unseren Bestreben nach dem besten Geschmack nachzugehen. – Herkunft: Italien
	Minigurken		1.85	vegetables	https://meine-vitaminheimat.de/wp-content/uploads/2021/04/Minigurken_3.jpg	Die Minigurke gehört ebenso wie alle anderen Gurkensorten zu den Cucurbitacaen. Sie eignet sich hervorragend für das Pausenbrot der Kinder, aber auch für den eigenen Mittagssnack. – Herkunft: Deutschland
	Karotten, lose	100g	0.4	vegetables	https://meine-vitaminheimat.de/wp-content/uploads/2021/04/Karotten_1.jpg	Karotten gehören neben Fenchel zu den Doldenblütlern. Sie sind vielseitig verwendbar und machen sowohl als Saft, im Gemüse oder roh zur Brotzei eine gute Figur. KOCHTIPP: Um das in der Karotte in großen Mengen vorhandene Betacarotin vom Körper in Vitamin A umwandeln zu können, benötigt dieser einen Fettanteil beim Essen der Karotten. Zudem sollte beim Kochen von Karotten immer eine kleine Prise Zucker zugegeben werden, um den feinen Möhrengeschmack nochmals zu unterstreichen. – Herkunft: Deutschland
	Jazz Apfel	250g	1.49	fruits	https://meine-vitaminheimat.de/wp-content/uploads/2021/04/Jazz_Apfel_3.jpg	Süß und leicht säuerlich zur gleichen Zeit, gepaart mit einer unvergleichlichen Knackigkeit, sorgt für den Genuss beim Jazzapfel. – Herkunft: Italien
	Paprika, rot	250g	2.48	vegetables	https://meine-vitaminheimat.de/wp-content/uploads/2021/04/Paprika_rot_8.jpg	Paprikaschoten gehören neben Kartoffeln und Tomaten zu den Nachtschattengewächsen. Sie sind roh und auch in diversen Gerichten ein Genuss. – Herkunft: Deutschland
	Rote Trauben, kernlos	100g	1.29	fruits	https://meine-vitaminheimat.de/wp-content/uploads/2021/04/Rose_Trauben_2.jpg	Wir sind bekannt für unsere super rose Weintrauben. So ist diese Traube supersüß und knackig und sorgt dafür, dass es schwer ist die Finger von ihr zu lassen. – Herkunft: Italien
